Personality Type,Career
ESTP,Pharmacist
ESTP,Photographer
ESTP,Pilot
ESTP,Detective
ESTP,Probation Officer
ESTP,Teacher
ISFP,Archaeologist
ISFP,Animator
ISFP,Chef
ISFP,Dancer
ISFP,Dental Hygienist
ISFP,Nutritionist
ISFP,Filmmaker
ISFP,Interior Designer
ISFP,Landscape Architect
ISFP,Librarian
ISFP,Medical Technician
ISFP,Musician
ISFP,Nurse
ISFP,Occupational Therapist
ISFP,Optometrist
ISFP,Pharmacist
ISFP,Physical Therapist
ISFP,Physician
ISFP,Pilot
ISFP,Psychologist
ISFP,Surgeon
ISFP,Systems Analyst
ISFP,Veterinarian
ISFP,Zoologist
ISTP,Bank Manager
ISTP,Coach
ISTP,Dental Assistant
ISTP,Dental Hygienist
ISTP,Landscape Architect
ISTP,Lawyer
ISTP,Medical Records Technician
ISTP,Optometrist
ISTP,Paralegal
ISTP,Photographer
ISTP,Physical Therapist
ISTP,Pilot
ISTP,Detective
ISTP,Corrections Officer
ISTP,Respiratory Therapist
ISTP,Software Engineer
ISTP,Surgical Technician
ISTP,Surveyor
ISTP,Systems Analyst
ENFP,Desktop Publisher
ENFP,Nutritionist
ENFP,Editor
ENFP,Event Planner
ENFP,Human Resources Manager
ENFP,Interior Designer
ENFP,Musician
ENFP,Physical Therapist
ENFP,Public Health Educator
ENFP,Social Worker
INFP,Desktop Publisher
INFP,Nutritionist
INFP,Film Editor
INFP,Human Resources Specialist
INFP,Psychologist
INFP,Journalist
INFP,Legal Mediator
INFP,Musician
INFP,Physical Therapist
INFP,Psychologist
INFP,Social Worker
INFP,Teacher
INFP,Translator
